      43
 Ba t 2
 Ba u 2
 Ba z 1
 Be a 2
 Be c 1
 Be d 1
 Be i 1
 Be l 94
 Be n 11
 Be r 20
 Be s 1
 Be t 7
 Be v 1
 Bg e 1
 Bg u 6
 Bh m 1
 Bi e 6
 Bi k 1
 Bi l 2
 Bi n 8
 Bi o 1
 Bi r 22
 Bi s 12
 Bi t 1
 Bl a 24
 Bl g 58
 Bl i 2
 Bl o 2
 Bl t 3
 Bo c 1
 Bo g 2
 Bo h 1
 Bo k 1
 Bo l 12
 Bo n 2
 Bo r 7
 Bo s 72
 Bo t 1
 Bo u 2
 Bo v 1
 Bo w 7
 Bo x 2
 Br a 8
 Br e 23
 Br g 2
 Br i 16
 Br n 1
 Br o 10
 Br u 101
 Bs c 1
 Bs i 8
 Bt i 5
 Bu c 1
 Bu d 14
 Bu e 3
 Bu l 149
 Bu n 2
 Bu r 4
 Bu s 60
 Bu z 2
 By r 1
 C    59
 C  C 12
 C  E 1
 C  i 1
 C  v 1
 C  y 1
 CA R 1
 CB I 2
 CC O 1
 CD H 4
 CD R 6
 CD U 5
 CE   113
 CE B 2
 CE D 1
 CE E 55
 CE I 1
 CE J 1
 CE P 7
 CE S 7
 CE T 5
 CH A 29
 CI A 6
 CI E 3
 CI P 3
 CL O 13
 CN S 6
 CO   27
 CO D 3
 CO H 1
 CO M 16
 CO S 18
 CP I 3
 CR E 1
 CS   1
 Ca b 31
 Ca d 35
 Ca i 2
 Ca l 13
 Ca m 14
 Ca n 152
 Ca p 26
 Ca r 56
 Ca s 40
 Ca t 17
 Ca u 10
 Ca v 1
 Cc l 1
 Cd R 3
 Cd i 7
 Ce c 1
 Ce d 10
 Ce l 26
 Ce n 137
 Ce r 4
 Ch a 6
 Ch b 1
 Ch e 65
 Ch i 119
 Ch o 1
 Ch r 5
 Ch u 1
 Ci e 19
 Ci n 2
 Ci o 5
 Ci r 2
 Ci s 1
 Ci t 4
 Ci u 3
 Ci v 15
 Ci z 5
 Cl a 6
 Cl e 9
 Cl i 4
 Cl u 2
 Cm a 186
 Cm o 82
 Co a 3
 Co b 2
 Co c 1
 Co e 22
 Co g 1
 Co h 25
 Co i 19
 Co l 23
 Co m 4211
 Co n 2230
 Co o 52
 Co p 13
 Co r 98
 Co s 32
 Co t 7
 Co x 2
 Cr a 1
 Cr e 457
 Cr i 7
 Cr o 90
 Cr p 2
 Cr u 6
 Cs a 2
 Ct e 1
 Cu a 111
 Cu b 7
 Cu c 1
 Cu e 259
 Cu l 89
 Cu m 65
 Cu n 27
 Cu r 7
 D  e 1
 D  q 1
 DA   6
 DA D 1
 DC   1
 DD R 1
 DE   6
 DE C 2
 DG   10
 DG D 1
 DO P 3
 DP I 4
 DR C 2
 DR R 3
 DU N 1
 Da   9
 Da c 2
 Da d 62
 Da e 6
 Da g 1
 Da i 3
 Da l 11
 Da m 14
 Da n 24
 Da p 2
 Da r 15
 Da s 1
 Da t 11
 Da u 6
 Da v 3
 Da y 1
 Da z 1
 Dc i 2
 De   393
 De a 3
 De b 299
 De c 50
 De d 1
 De f 50
 De g 1
 De h 1
 De j 9
 De k 1
 De l 55
 De m 111
 De n 24
 De p 17
 De r 304
 De s 424
 De t 2
 De u 2
 De v 1
 Dg a 2
 Dh a 3
 Di a 4
 Di c 53
 Di e 2
 Di f 1
 Di g 17
 Di j 1
 Di m 10
 Di n 17
 Di o 5
 Di p 2
 Di r 454
 Di s 37
 Di v 4
 Dj a 2
 Dj e 1
 Dj u 1
 Dm i 2
 Dn d 1
 Do d 1
 Do e 1
 Do h 10
 Do i 1
 Do m 7
 Do n 4
 Do o 10
 Do r 2
 Do s 5
 Do t 2
 Do v 3
 Do y 16
 Dr   1
 Dr a 25
 Dr e 1
 Dr o 22
 Du a 1
 Du b 15
 Du d 3
 Du f 1
 Du k 1
 Du m 5
 Du n 12
 Du r 54
 E    1
 E  E 1
 E  P 1
 E  c 9
 E  d 4
 E  e 1
 E  l 1
 E  m 2
 E  q 1
 E  r 4
 E  s 1
 E  t 1
 EA D 1
 EA I 2
 EA S 1
 EC   1
 EC D 4
 EC E 1
 EC H 14
 EC O 1
 EC R 15
 ED D 1
 ED F 1
 ED I 1
 EE   1
 EE A 1
 EE B 20
 EE E 1
 EE I 3
 EE S 2
 EE T 2
 EE U 29
 EF F 1
 EF I 1
 EF S 1
 EG N 44
 EH E 8
 EI   26
 EI A 18
 EI F 3
 EI O 1
 EI T 1
 EL   6
 EL D 8
 EM A 3
 EM E 2
 EM S 1
 EN   29
 EN I 1
 EN S 4
 EO N 1
 EP P 1
 EP S 1
 ER A 3
 ER D 1
 ES   6
 ES B 1
 ES V 4
 ET A 1
 ET F 5
 ET G 2
 ET S 1
 EU   6
 EU A 1
 EU M 1
 EU N 4
 EU R 5
 EX P 1
 Ea r 2
 Ea s 1
 Ec h 2
 Ec o 99
 Ed a 2
 Ed i 2
 Ed m 1
 Ed o 1
 Ed u 33
 Ee l 4
 Ef e 3
 Ef i 1
 Eg i 28
 Eg n 1
 Eh   1
 Ei c 3
 Ei n 1
 Ej e 22
 Ek   2
 Ek b 2
 El   1854
 El e 4
 El i 2
 El l 56
 El m 1
 El u 1
 Em i 3
 Em o 1
 Em p 99
 En   1989
 En B 2
 En c 5
 En d 1
 En e 33
 En f 9
 En i 1
 En l 2
 En m 1
 En r 1
 En s 2
 En t 92
 En v 1
 Eq u 3
 Er a 40
 Er i 1
 Er m 1
 Er n 3
 Er t 1
 Es   625
 Es a 50
 Es c 44
 Es e 38
 Es l 9
 Es o 88
 Es p 241
 Es s 1
 Es t 4786
 Eu r 5085
 Eu s 1
 Ev a 9
 Ev i 14
 Ev o 1
 Ev r 1
 Ex a 4
 Ex c 1
 Ex h 6
 Ex i 52
 Ex p 11
 Ex t 111
 Ey n 1
 F  y 1
 FA O 18
 FA V 1
 FE A 56
 FE D 34
 FE E 2
 FE I 4
 FE O 1
 FE P 13
 FE R 1
 FF H 1
 FI F 2
 FI I 3
 FM I 56
 FO C 1
 FR   18
 FR O 1
 FS E 17
 FU E 2
 Fa c 4
 Fa i 2
 Fa l 16
 Fa m 2
 Fa r 3
 Fa t 10
 Fa y 1
 Fe d 18
 Fe i 11
 Fe l 11
 Fe r 24
 Fe s 1
 Fi d 7
 Fi g 1
 Fi j 1
 Fi n 136
 Fi r 1
 Fi s 35
 Fi t 1
 Fj e 2
 Fl a 3
 Fl e 7
 Fl o 1
 Fl y 1
 Fo c 1
 Fo m 3
 Fo n 299
 Fo o 1
 Fo r 43
 Fr a 98
 Fr e 7
 Fr m 4
 Fr o 46
 Ft b 2
 Ft i 1
 Fu e 32
 Fu i 3
 Fu k 28
 Fu n 113
 Fu s 4
 Fu t 1
 G  A 1
 G  D 1
 G  G 2
 G  L 1
 G  P 2
 G  S 1
 G  a 4
 G  c 1
 G  d 2
 G  e 5
 G  l 4
 G  o 2
 G  p 4
 G  y 3
 GA L 13
 GA T 1
 GE I 1
 GF S 2
 GH z 2
 GM   2
 GM E 1
 GN S 44
 GP S 11
 GS M 1
 GU E 6
 Ga b 3
 Ga d 3
 Ga h 1
 Ga l 73
 Ga n 3
 Ga r 45
 Ga s 4
 Ga u 4
 Ga y 1
 Ga z 18
 Gd a 1
 Ge b 1
 Ge n 129
 Ge o 102
 Ge r 12
 Ge s 6
 Gi b 4
 Gi e 7
 Gi n 38
 Gi o 1
 Gi r 1
 Gl   3
 Gl e 2
 Gl l 1
 Gl o 29
 Gl y 1
 Gn c 2
 Gn e 4
 Gn o 1
 Gn t 1
 Go b 265
 Go l 55
 Go m 3
 Go n 3
 Go o 4
 Go r 4
 Go t 15
 Go u 12
 Gr a 73
 Gr e 191
 Gr i 1
 Gr l 2
 Gr o 4
 Gr u 338
 Gt e 2
 Gu a 19
 Gu c 5
 Gu e 9
 Gu i 27
 Gu n 1
 Gu s 2
 Gy n 1
 Gy r 13
 Gy u 3
 H  P 27
 HA L 1
 HE R 1
 HG   3
 HN   2
 HT V 1
 Ha   61
 Ha a 1
 Ha b 53
 Ha c 45
 Ha g 20
 Ha h 2
 Ha i 3
 Ha j 1
 Ha l 1
 Ha m 18
 Ha n 28
 Ha r 7
 Ha s 51
 Ha t 1
 Ha u 2
 Ha w 2
 Ha y 149
 Ha z 1
 Hb i 18
 Hb n 2
 He   431
 He a 9
 He c 6
 He d 7
 He l 6
 He m 123
 He n 1
 He r 35
 Hf n 1
 Hg a 1
 Hi c 1
 Hi d 2
 Hi e 1
 Hi l 2
 Hi r 11
 Hi s 3
 Hi t 3
 Hk m 7
 Hn g 3
 Ho c 1
 Ho l 16
 Ho n 11
 Ho o 1
 Ho w 3
 Ho y 74
 Hu b 9
 Hu e 3
 Hu g 1
 Hu l 3
 Hu m 79
 Hu n 77
 Hu s 3
 I    1
 I  I 1
 I  c 1
 I  d 1
 I  e 2
 I  o 1
 I  q 3
 IA E 1
 IA S 1
 IB M 1
 IC C 7
 IC D 21
 IC R 1
 ID   714
 ID I 4
 ID T 1
 IE D 5
 IE V 3
 IF M 1
 IG P 3
 II   17
 II I 10
 IM E 4
 IN D 22
 IN I 10
 IN N 1
 IN T 1
 IR A 1
 IR T 1
 IT   5
 IT C 2
 IT E 20
 IT I 1
 IT R 3
 IT S 3
 IV   8
 IV A 14
 IX   2
 Ia c 1
 Ic e 1
 Id e 3
