      243
 Ar u 1
 As e 1
 As h 69
 As i 6
 As p 1
 As s 145
 At h 3
 At i 1
 At l 6
 At o 1
 At t 3
 At x 1
 Au   178
 Au c 14
 Au d 27
 Au g 1
 Au j 65
 Au n 6
 Au p 3
 Au s 19
 Au t 39
 Au v 1
 Au x 12
 Av a 26
 Av e 51
 Av i 1
 Av o 1
 Aw a 1
 Ax e 1
 Ay a 5
 Ay l 1
 Az e 12
 B    1
 B  B 1
 B  C 1
 B  L 6
 B  P 2
 B  d 6
 B  e 2
 B  i 1
 B  l 8
 B  o 1
 B  p 1
 BA E 1
 BA S 1
 BB   1
 BC   1
 BC E 57
 BE I 12
 BI D 1
 BI T 4
 BN F 4
 BN P 1
 BP   1
 BR I 2
 Ba c 4
 Ba g 2
 Ba h 4
 Ba l 96
 Ba n 175
 Ba r 65
 Ba s 4
 Ba t 2
 Ba u 2
 Ba y 1
 Ba z 1
 Be a 26
 Be c 3
 Be d 1
 Be l 63
 Be n 22
 Be r 27
 Be t 7
 Be v 1
 Bg e 1
 Bg u 6
 Bh m 1
 Bi e 134
 Bi k 1
 Bi l 72
 Bi r 28
 Bi s 4
 Bl e 7
 Bl i 2
 Bl o 3
 Bo a 1
 Bo g 3
 Bo l 12
 Bo m 1
 Bo n 9
 Bo r 7
 Bo s 67
 Bo u 4
 Bo w 7
 Bo x 2
 Br a 2
 Br e 9
 Br i 16
 Br n 1
 Br o 9
 Br s 5
 Br u 97
 Bs c 1
 Bt i 4
 Bu c 2
 Bu d 10
 Bu l 180
 Bu n 2
 Bu r 17
 Bu s 71
 Bu t 2
 Bu z 4
 By r 1
 C    54
 C  C 13
 C  J 1
 C  d 1
 C  i 1
 C  v 2
 C'   81
 C' e 1096
 C' t 16
 CA R 1
 CC M 2
 CC O 2
 CC R 1
 CD A 1
 CD H 2
 CD U 1
 CE   96
 CE C 5
 CE E 32
 CE I 1
 CE J 1
 CE P 12
 CE R 2
 CE S 8
 CF P 58
 CH A 29
 CI A 5
 CI E 2
 CI P 2
 CJ C 1
 CL O 11
 CN S 5
 CN U 3
 CO   25
 CO D 2
 CO H 1
 CO M 15
 CO S 17
 CP A 1
 CP I 2
 CR D 1
 CV   1
 Ca c 1
 Ca d 5
 Ca i 3
 Ca l 9
 Ca m 7
 Ca n 125
 Ca p 8
 Ca r 50
 Ca s 25
 Ca t 12
 Ca u 11
 Ca v 1
 Cd R 4
 Ce   627
 Ce c 29
 Ce d 9
 Ce l 333
 Ce n 42
 Ce p 154
 Ce r 89
 Ce s 258
 Ce t 415
 Ce u 33
 Ch a 71
 Ch b 1
 Ch e 13
 Ch i 106
 Ch o 1
 Ch r 6
 Ch u 1
 Ch y 18
 Ci b 1
 Ci n 8
 Ci o 6
 Ci r 2
 Ci s 1
 Ci t 1
 Ci v 1
 Ci z 3
 Cl a 3
 Cl e 4
 Cl i 1
 Cl u 2
 Co c 1
 Co d 3
 Co e 22
 Co h 6
 Co l 23
 Co m 3070
 Co n 1492
 Co o 5
 Co p 14
 Co r 70
 Co s 29
 Co t 4
 Co u 292
 Co x 2
 Cr   2
 Cr a 2
 Cr d 1
 Cr e 18
 Cr i 1
 Cr o 105
 Cr t 1
 Cs a 4
 Ct e 3
 Cu   1
 Cu b 6
 Cu l 5
 Cu m 3
 Cu n 14
 Cu r 7
 Cy c 1
 D  C 1
 D'   10
 D' a 82
 D' e 1
 D' i 8
 D' n 1
 D' o 10
 D' u 55
 DE   3
 DE C 2
 DE E 3
 DE M 1
 DG   12
 DP I 3
 DR R 4
 Da   2
 Da c 1
 Da e 7
 Da g 1
 Da i 3
 Da l 14
 Da m 11
 Da n 534
 Da p 2
 Da r 16
 Da s 1
 Da u 5
 Da v 7
 Da y 1
 Db a 1
 Db l 1
 Db u 3
 Dc e 2
 Dc h 8
 Dc i 1
 Dc l 4
 De   269
 De a 3
 De b 2
 De c 4
 De g 1
 De h 1
 De l 13
 De m 7
 De n 1
 De p 51
 De r 8
 De s 121
 De u 128
 De v 2
 Df e 2
 Dh a 3
 Di a 2
 Di e 3
 Di f 1
 Di m 6
 Di o 3
 Di p 1
 Di r 8
 Di s 7
 Di t 2
 Di v 3
 Di x 3
 Dj   4
 Dj a 1
 Dj o 3
 Dm a 1
 Dm i 2
 Dm o 51
 Do d 2
 Do e 1
 Do h 8
 Do m 9
 Do n 29
 Do o 10
 Do r 3
 Do t 2
 Do u 7
 Dp e 2
 Dp u 46
 Dr a 16
 Dr e 1
 Dr o 8
 Ds   53
 Ds o 6
 Du   13
 Du a 1
 Du b 14
 Du f 1
 Du n 14
 Du r 9
 Dv e 7
 Dy b 1
 E    3
 E  E 1
 E  P 1
 E  a 1
 E  c 11
 E  d 2
 E  e 3
 E  g 1
 E  i 1
 E  q 2
 E  s 1
 EA D 1
 EA J 3
 EA S 1
 EC   1
 EC D 1
 EC E 9
 EC H 11
 EC O 2
 EC R 7
 ED D 1
 ED I 1
 EE R 5
 EF D 2
 EF F 1
 EF I 1
 EF S 5
 EG N 37
 EH E 1
 EI A 1
 EI E 11
 EI T 1
 EL D 8
 EM A 1
 EM E 1
 EM S 1
 EN   6
 EN I 3
 EN S 2
 EP M 1
 EP S 1
 EQ L 1
 ER A 2
 ER D 1
 ES   1
 ES B 9
 ES V 4
 ET F 3
 EU   2
 EU F 1
 EU R 5
 EX P 2
 Ea s 1
 Ec o 8
 Ed o 1
 Ef f 5
 Eg n 1
 Eh   9
 Ei c 2
 Ei n 1
 Ek   2
 Ek b 2
 El   12
 El i 3
 El l 240
 Em i 1
 Em p 1
 En   1073
 En c 8
 En f 215
 En i 2
 En s 36
 En t 15
 En v 9
 Er a 27
 Er i 1
 Er n 2
 Er t 1
 Es c 2
 Es p 23
 Es s 2
 Es t 34
 Et   161
 Et a 1
 Eu   7
 Eu r 876
 Ev a 1
 Ev i 1
 Ex a 2
 Ex e 1
 Ex i 3
 Ex p 3
 Ex t 1
 Ey n 2
 F  e 1
 FA O 14
 FD A 1
 FE A 8
 FE D 31
 FE I 6
 FE M 39
 FE O 1
 FE P 12
 FE R 1
 FE S 3
 FF H 1
 FI F 1
 FI I 3
 FM I 66
 FN   2
 FR O 2
 FS E 12
 FU E 3
 Fa c 22
 Fa i 15
 Fa l 11
 Fa r 4
 Fa t 13
 Fa u 7
 Fa y 4
 Fd r 9
 Fe d 3
 Fe i 11
 Fe l 1
 Fe m 4
 Fe r 22
 Fe s 2
 Fe u 1
 Fi d 5
 Fi g 1
 Fi n 32
 Fi o 2
 Fi r 4
 Fi s 27
 Fi t 1
 Fj e 2
 Fl a 4
 Fl e 8
 Fl i 3
 Fl o 1
 Fl y 1
 Fo c 1
 Fo l 1
 Fo n 266
 Fo o 1
 Fo r 25
 Fo u 1
