      55
 BA E 1
 BA S 1
 BA T 1
 BB   1
 BC   1
 BC E 60
 BE I 14
 BE R 1
 BI S 1
 BN F 4
 BN T 2
 BR I 3
 BS E 2
 Ba g 4
 Ba h 7
 Ba l 98
 Ba n 187
 Ba r 91
 Ba s 59
 Ba t 2
 Ba u 2
 Ba z 1
 Be a 2
 Be c 4
 Be d 1
 Be l 54
 Be n 51
 Be r 22
 Be s 1
 Be t 7
 Be v 1
 Bg u 6
 Bh m 1
 Bh u 1
 Bi a 3
 Bi e 67
 Bi k 1
 Bi l 3
 Bi n 2
 Bi r 34
 Bi s 49
 Bl a 1
 Bl i 1
 Bl o 2
 Bo a 2
 Bo c 1
 Bo g 1
 Bo l 13
 Bo m 1
 Bo n 3
 Bo r 6
 Bo s 65
 Bo u 3
 Bo w 8
 Br a 4
 Br e 19
 Br i 12
 Br n 1
 Br o 12
 Br u 81
 Bs c 1
 Bs e 1
 Bt i 4
 Bu c 2
 Bu d 12
 Bu l 154
 Bu n 2
 Bu o 1
 Bu r 4
 Bu s 81
 Bu z 2
 By r 1
 C    57
 C  C 12
 C  L 1
 C  i 2
 C  v 1
 C'   43
 C' e 3
 CA R 1
 CC C 1
 CC O 2
 CD U 1
 CE   106
 CE B 4
 CE D 1
 CE E 60
 CE J 1
 CE P 17
 CE R 3
 CE S 7
 CE T 11
 CH A 29
 CI A 4
 CI E 3
 CI P 3
 CI R 2
 CL O 12
 CN S 5
 CO   19
 CO D 4
 CO H 1
 CO M 14
 CO S 17
 CP A 1
 CP S 1
 CR A 2
 CR D 1
 CU L 1
 CV E 1
 Ca d 6
 Ca i 4
 Ca l 10
 Ca m 45
 Ca n 132
 Ca p 17
 Ca r 64
 Ca s 28
 Ca t 8
 Ca u 12
 Ca v 1
 Cd R 8
 Ce   4
 Ce c 14
 Ce d 9
 Ce j 1
 Ce l 1
 Ce n 57
 Ce r 41
 Ce s 2
 Ch a 6
 Ch b 1
 Ch e 46
 Ch i 130
 Ch o 1
 Ch r 7
 Ch u 1
 Ci   308
 Ci a 2
 Ci c 3
 Ci l 3
 Ci n 90
 Ci o 52
 Ci p 18
 Ci r 9
 Ci t 8
 Ci z 8
 Cl e 8
 Cl i 1
 Cl u 2
 Co a 2
 Co d 1
 Co e 26
 Co h 5
 Co l 35
 Co m 3503
 Co n 1991
 Co o 8
 Co p 11
 Co r 462
 Co s 88
 Co t 3
 Co u 1
 Co x 2
 Cr a 1
 Cr e 192
 Cr i 13
 Cr o 108
 Cu   1
 Cu b 8
 Cu h 2
 Cu l 5
 Cu m 3
 Cu n 12
 Cu r 7
 D  c 1
 D  d 1
 D  l 1
 D'   11
 D' A 1
 D' a 51
 D' o 4
 DA D 1
 DC   1
 DC I 13
 DD A 1
 DE   3
 DE C 2
 DE M 1
 DG   7
 DI   2
 DI C 2
 DO P 3
 DP I 3
 DR R 2
 Da   87
 Da c 4
 Da e 6
 Da g 1
 Da i 4
 Da l 82
 Da m 14
 Da n 39
 Da p 1
 Da r 13
 Da s 1
 Da t 30
 Da u 4
 Da v 2
 Da y 2
 De   37
 De a 3
 De b 4
 De c 5
 De f 1
 De g 1
 De l 29
 De m 55
 De n 4
 De p 11
 De r 2
 De s 177
 De t 24
 De u 3
 De v 62
 Di   93
 Di a 5
 Di b 1
 Di c 18
 Di e 7
 Di f 4
 Di m 5
 Di n 6
 Di o 4
 Di p 7
 Di r 27
 Di s 28
 Di v 19
 Do   5
 Do b 293
 Do c 1
 Do d 2
 Do e 1
 Do h 10
 Do i 1
 Do l 1
 Do m 13
 Do n 3
 Do o 10
 Do p 66
 Do r 1
 Do v 65
 Dr a 21
 Dr e 1
 Dr o 1
 Du a 1
 Du b 15
 Du e 12
 Du f 1
 Du m 1
 Du n 23
 Du o 1
 Du r 32
 Dy a 1
 Dy b 1
 E    2
 E  C 2
 E  P 1
 E  V 1
 E  a 10
 E  c 15
 E  d 8
 E  e 1
 E  f 3
 E  g 1
 E  i 8
 E  l 4
 E  m 3
 E  n 7
 E  o 2
 E  p 5
 E  q 9
 E  r 1
 E  s 14
 E  t 3
 E  v 3
 E'   295
 EA D 1
 EC   1
 EC D 3
 EC H 15
 EC O 4
 EC R 15
 ED D 1
 ED F 1
 ED I 1
 EF D 2
 EF F 1
 EF S 7
 EG N 54
 EH E 15
 EI D 1
 EI O 1
 EI T 2
 EL D 8
 EM A 2
 EM S 2
 EN   1
 EN I 2
 EN S 7
 EN V 1
 EO N 1
 EP R 1
 EQ L 1
 ER A 2
 ES   3
 ES A 1
 ES B 16
 ES M 1
 ES V 2
 ET A 1
 ET F 6
 ET S 4
 EU   5
 EU F 1
 EU M 1
 EU N 4
 EU R 10
 Ea s 1
 Eb b 10
 Ec c 49
 Ec h 1
 Ec o 12
 Ed   4
 Ed i 2
 Ed m 1
 Ed o 1
 Ef f 4
 Eg i 19
 Eg l 9
 Eg n 1
 Eg r 3
 Eh   1
 Ei c 2
 Ei n 1
 Ei o 1
 Ek   1
 Ek b 2
 El   9
 El a 1
 El o 1
 Em e 1
 Em i 4
 Em p 1
 En B 1
 En c 1
 En e 1
 En f 1
 En r 2
 En s 1
 En t 25
 Ep p 27
 Er a 38
 Er i 2
 Er n 2
 Er o 3
 Er z 3
 Es a 5
 Es c 2
 Es e 1
 Es i 31
 Es o 17
 Es p 38
 Es s 69
 Es t 22
 Eu f 1
 Eu r 919
 Ev e 1
 Ev i 10
 Ev o 1
 Ex p 2
 Ey n 1
 FA O 20
 FC R 1
 FE A 20
 FE G 24
 FE I 8
 FE M 2
 FE P 17
 FE S 31
 FF H 1
 FI F 2
 FM I 62
 FO C 1
 FP   1
 FR O 3
 FS E 11
 FU E 1
 FY R 1
 Fa   3
 Fa c 16
 Fa i 1
 Fa j 1
 Fa l 16
 Fa r 12
 Fa s 2
 Fa t 14
 Fa y 3
 Fe d 14
