      16
    ' 1
 BB   2
 BB P 7
 BC   2
 BN I 1
 BN P 1
 BP   1
 BR I 3
 BT W 4
 BU D 1
 Ba c 2
 Ba g 3
 Ba h 10
 Ba i 1
 Ba k 2
 Ba l 68
 Ba n 65
 Ba r 80
 Ba s 7
 Ba t 2
 Ba y 2
 Ba z 2
 Be a 2
 Be c 4
 Be d 6
 Be g 15
 Be h 8
 Be i 21
 Be l 102
 Be m 2
 Be n 26
 Be o 1
 Be p 2
 Be r 22
 Be s 14
 Be t 12
 Be w 6
 Be y 1
 Be z 1
 Bg e 1
 Bh u 1
 Bi b 1
 Bi j 91
 Bi l 3
 Bi n 31
 Bi s 2
 Bl a 2
 Bl i 3
 Bl l 1
 Bl o 2
 Bl u 1
 Bo a 1
 Bo e 11
 Bo g 2
 Bo l 5
 Bo m 1
 Bo n 6
 Bo r 4
 Bo s 28
 Bo t 1
 Bo v 157
 Bo w 4
 Br a 6
 Br e 5
 Br i 56
 Br n 1
 Br o 8
 Br u 83
 Bs e 1
 Bt i 7
 Bu c 1
 Bu d 1
 Bu i 38
 Bu l 172
 Bu n 4
 Bu r 56
 Bu s 41
 Bu z 5
 C    47
 C  D 1
 C  N 2
 C  g 1
 C' s 1
 CA P 1
 CC C 1
 CD U 1
 CE B 4
 CE D 1
 CE P 1
 CE T 10
 CI A 6
 CI P 7
 CO   7
 CO M 1
 CO R 1
 CO a 2
 CO e 11
 CO h 1
 CO m 1
 CO o 1
 CO q 1
 CO r 1
 CO u 4
 CO v 4
 CP A 2
 CR E 1
 Ca d 4
 Ca l 12
 Ca m 7
 Ca n 146
 Ca p 3
 Ca r 15
 Ca s 20
 Ca t 17
 Ce c 1
 Ce d 9
 Ce n 96
 Ce r 3
 Ce t 1
 Ch a 4
 Ch e 1
 Ch i 63
 Ch o 7
 Ch r 30
 Ci o 8
 Ci r 1
 Ci t 1
 Ci z 4
 Cl e 5
 Cl u 1
 Co a 1
 Co d 2
 Co e 16
 Co h 26
 Co l 15
 Co m 2140
 Co n 44
 Co o 2
 Co p 2
 Co r 11
 Co s 1
 Co t 4
 Co u 1
